Time,Value
11/14/2016 9:38:00 PM,91
11/14/2016 9:38:15 PM,91
11/14/2016 9:38:25 PM,91
11/14/2016 9:38:30 PM,89
11/14/2016 9:38:45 PM,89
11/14/2016 9:38:50 PM,89
11/14/2016 9:39:00 PM,89
11/14/2016 9:39:15 PM,89
11/14/2016 9:39:30 PM,89
11/14/2016 9:39:35 PM,89
11/14/2016 9:39:40 PM,86
11/14/2016 9:39:50 PM,83
11/14/2016 9:40:00 PM,82
11/14/2016 9:40:05 PM,91
11/14/2016 9:40:10 PM,103
11/14/2016 9:40:15 PM,104
11/14/2016 9:40:25 PM,103
11/14/2016 9:40:30 PM,101
11/14/2016 9:40:45 PM,101
11/14/2016 9:40:55 PM,101
11/14/2016 9:41:10 PM,103
11/14/2016 9:41:15 PM,104
11/14/2016 9:41:20 PM,101
11/14/2016 9:41:25 PM,97
11/14/2016 9:41:30 PM,98
11/14/2016 9:41:35 PM,99
11/14/2016 9:41:45 PM,99
11/14/2016 9:42:00 PM,99
11/14/2016 9:42:15 PM,99
11/14/2016 9:42:30 PM,99
11/14/2016 9:42:35 PM,99
11/14/2016 9:42:40 PM,98
11/14/2016 9:42:55 PM,98
11/14/2016 9:43:10 PM,98
11/14/2016 9:43:25 PM,98
11/14/2016 9:43:40 PM,98
11/14/2016 9:43:55 PM,98
11/14/2016 9:44:10 PM,98
11/14/2016 9:44:25 PM,98
11/14/2016 9:44:30 PM,98
11/14/2016 9:44:45 PM,98
11/14/2016 9:45:00 PM,98
11/14/2016 9:45:15 PM,98
11/14/2016 9:45:30 PM,98
11/14/2016 9:45:45 PM,98
11/14/2016 9:58:55 PM,98
11/14/2016 9:59:40 PM,98
11/14/2016 9:59:55 PM,98
11/14/2016 10:00:10 PM,98
11/14/2016 10:00:25 PM,98
11/14/2016 10:01:05 PM,70
11/14/2016 10:01:20 PM,70
11/14/2016 10:01:35 PM,70
11/14/2016 10:01:50 PM,70
11/14/2016 10:04:00 PM,127
11/14/2016 10:04:05 PM,132
11/14/2016 10:04:10 PM,137
