time [s/256],breathing_rate [rpm](/api/datatype/33/),minute_ventilation [mL/min](/api/datatype/36/),sleep_position [NA](/api/datatype/270/),activity [g](/api/datatype/49/),heart_rate [bpm](/api/datatype/19/),cadence [spm](/api/datatype/53/)
378656714865,12,5524.4799999999996,,0.015625,80,0
378656715121,12,5524.4799999999996,,0.0,82,0
378656715377,12,5524.4799999999996,,0.01953125,83,0
378656715633,12,5524.4799999999996,,0.0234375,85,0
378656715889,12,5524.4799999999996,,0.01953125,86,0
378656716145,12,5524.4799999999996,,0.015625,86,0
378656716401,11,4568.3199999999997,,0.015625,85,0
378656716657,10,4568.3199999999997,,0.01953125,85,0
378656716913,9,4568.3199999999997,,0.015625,85,0
378656717169,9,4568.3199999999997,,0.015625,84,0
378656717425,9,4568.3199999999997,,0.046875,84,0
378656717681,9,4568.3199999999997,,0.0546875,84,0
378656717937,9,5258.8800000000001,,0.01953125,84,0
378656718193,9,5258.8800000000001,,0.0234375,82,0
378656718449,9,5258.8800000000001,,0.0234375,81,0
378656718705,9,5258.8800000000001,,0.02734375,79,0
378656718961,9,5418.2399999999998,,0.0234375,78,0
378656719217,9,5418.2399999999998,,0.02734375,78,0
378656719473,9,5418.2399999999998,,0.03125,77,0
378656719729,9,5418.2399999999998,,0.046875,76,0
378656719985,9,5418.2399999999998,,0.0234375,75,0
378656720241,9,5418.2399999999998,,0.015625,75,0
378656720497,9,5418.2399999999998,,0.0,74,0
378656720753,9,5418.2399999999998,,0.015625,73,0
378656721009,9,5418.2399999999998,,0.01953125,72,0
378656721265,9,5418.2399999999998,,0.01953125,71,0
378656721521,9,5644.0,,0.015625,71,0
378656721777,8,5644.0,,0.0,71,0
378656722033,8,5644.0,,0.015625,71,0
378656722289,8,5644.0,,0.015625,71,0
378656722545,8,5644.0,,0.0,71,0
378656722801,8,5644.0,,0.015625,72,0
378656723057,8,5644.0,,0.01953125,72,0
378656723313,8,5644.0,,0.0,73,0
378656723569,8,5644.0,,0.015625,74,0
378656723825,8,5644.0,,0.015625,74,0
378656724081,8,5644.0,,0.0,74,0
378656724337,8,5644.0,,0.0,73,0
378656724593,8,5644.0,,0.0,72,0
378656724849,8,5644.0,,0.0,72,0
378656725105,8,5644.0,,0.0,72,0
378656725361,8,5644.0,,0.0,72,0
378656725617,8,5139.3599999999997,,0.015625,72,0
378656725873,7,5139.3599999999997,,0.015625,72,0
378656726129,7,5139.3599999999997,,0.01953125,72,0
378656726385,7,5139.3599999999997,,0.0,72,0
378656726641,7,5139.3599999999997,,0.0,72,0
378656726897,7,5139.3599999999997,,0.015625,72,0
378656727153,7,5139.3599999999997,,0.0,71,0
378656727409,7,5139.3599999999997,,0.015625,71,0
378656727665,7,5139.3599999999997,,0.015625,70,0
378656727921,7,5139.3599999999997,,0.0,70,0
378656728177,7,5139.3599999999997,,0.015625,71,0
378656728433,7,5139.3599999999997,,0.015625,72,0
378656728689,7,5139.3599999999997,,0.015625,73,0
378656728945,7,4807.3599999999997,,0.015625,75,0
378656729201,6,4807.3599999999997,,0.0,75,0
378656729457,6,4807.3599999999997,,0.0,74,0
378656729713,6,4807.3599999999997,,0.0,74,0
378656729969,6,4807.3599999999997,,0.015625,73,0
378656730225,6,4807.3599999999997,,0.06640625,73,0
378656730481,6,4807.3599999999997,,0.3125,73,0
378656730737,6,4807.3599999999997,,0.2734375,74,0
378656730993,6,4807.3599999999997,,0.33203125,74,0
378656731249,6,4807.3599999999997,,0.23046875,75,0
378656731505,6,4807.3599999999997,,0.23046875,76,0
378656731761,6,4807.3599999999997,,0.27734375,78,0
378656732017,6,4807.3599999999997,5.0,0.05078125,79,0
378656732273,6,4807.3599999999997,,0.02734375,82,0
378656732529,6,5458.0799999999999,,0.0234375,87,0
378656732785,6,5458.0799999999999,,0.01953125,89,0
378656733041,5,5458.0799999999999,,0.015625,92,0
378656733297,5,5458.0799999999999,,0.0,93,0
378656733553,5,5458.0799999999999,,0.015625,92,0
378656733809,5,5458.0799999999999,,0.015625,92,0
378656734065,5,5458.0799999999999,,0.015625,92,0
378656734321,5,5458.0799999999999,,0.03125,91,0
378656734577,5,5790.0799999999999,,0.01953125,89,0
378656734833,6,5790.0799999999999,,0.015625,86,0
378656735089,6,5790.0799999999999,,0.015625,85,0
378656735345,6,5790.0799999999999,,0.015625,84,0
378656735601,6,5790.0799999999999,,0.015625,82,0
378656735857,6,5790.0799999999999,,0.015625,79,0
378656736113,6,5338.5599999999995,,0.0,77,0
378656736369,6,5338.5599999999995,,0.015625,75,0
378656736625,6,5338.5599999999995,,0.0,74,0
378656736881,6,5338.5599999999995,,0.015625,74,0
378656737137,6,5338.5599999999995,,0.015625,73,0
378656737393,6,5431.5199999999995,,0.015625,73,0
378656737649,6,5431.5199999999995,,0.015625,73,0
378656737905,6,5431.5199999999995,,0.015625,72,0
378656738161,6,5431.5199999999995,,0.015625,73,0
378656738417,6,5431.5199999999995,,0.015625,73,0
378656738673,6,5431.5199999999995,,0.0,73,0
378656738929,6,5431.5199999999995,,0.015625,73,0
378656739185,6,5219.04,,0.015625,74,0
378656739441,6,5219.04,,0.0,74,0
378656739697,6,5219.04,,0.0,74,0
378656739953,6,5219.04,,0.015625,74,0
378656740209,6,5219.04,,0.0234375,74,0
378656740465,6,6454.0799999999999,,0.015625,74,0
378656740721,7,6454.0799999999999,,0.015625,74,0
378656740977,7,6454.0799999999999,,0.015625,75,0
378656741233,7,6454.0799999999999,2.0,0.0,76,0
378656741489,7,6454.0799999999999,,0.015625,76,0
378656741745,7,6454.0799999999999,,0.015625,77,0
378656742001,7,7250.8799999999992,,0.015625,77,0
378656742257,8,7250.8799999999992,,0.015625,77,0
378656742513,8,7250.8799999999992,,0.015625,76,0
378656742769,9,6334.5599999999995,,0.0,76,0
378656743025,9,6334.5599999999995,,0.0,75,0
378656743281,10,6334.5599999999995,,0.0,75,0
378656743537,11,6892.3199999999997,,0.015625,75,0
378656743793,11,6892.3199999999997,,0.015625,75,0
378656744049,12,6892.3199999999997,,0.05078125,75,0
378656744305,12,7211.04,,0.12890625,75,0
378656744561,13,7211.04,,0.06640625,75,0
378656744817,13,7211.04,,0.0234375,76,0
378656745073,13,6905.5999999999995,,0.015625,77,0
378656745329,14,6905.5999999999995,,0.1015625,77,0
378656745585,14,6905.5999999999995,,0.12109375,80,0
